id,lon,lat,exist
207,110.3964708,-7.009530082,TRUE
208,110.3965189,-6.964862802,TRUE
209,110.3965977,-6.990207472,TRUE
210,110.3970624,-7.008920535,TRUE
211,110.3974353,-6.973275111,TRUE
212,110.3975808,-6.975461452,TRUE
213,110.3976379,-7.020797252,TRUE
214,110.3976608,-6.97913432,TRUE
215,110.3981497,-6.994581765,TRUE
216,110.3982384,-7.005500318,TRUE
217,110.3986888,-6.979344004,TRUE
218,110.3988592,-7.08721151,TRUE
219,110.3988794,-6.974907305,TRUE
220,110.4002828,-7.051084585,TRUE
221,110.4005962,-7.003480681,TRUE
222,110.4011298,-6.984173537,TRUE
223,110.4011313,-6.982987827,TRUE
224,110.401238,-6.986545098,TRUE
225,110.4012714,-6.989435311,TRUE
226,110.4012914,-6.984621635,TRUE
227,110.4015139,-6.958689891,TRUE
228,110.4016882,-7.001522711,TRUE
229,110.4018821,-6.960657972,TRUE
230,110.401964,-7.066420236,TRUE
231,110.4020484,-7.00172327,TRUE
232,110.4024701,-6.996240464,TRUE
233,110.402675,-6.957483523,TRUE
234,110.4028492,-6.984573277,TRUE
235,110.4029015,-7.000213591,TRUE
236,110.4029818,-7.000103637,TRUE
237,110.4031593,-6.99063142,TRUE
238,110.4037034,-6.985673547,TRUE
239,110.4039192,-6.971740839,TRUE
240,110.4042046,-6.959895191,TRUE
241,110.4042305,-6.975096849,TRUE
242,110.4045625,-6.962012609,TRUE
243,110.4047776,-6.995798278,TRUE
244,110.4052061,-6.970008349,TRUE
245,110.4053664,-6.985187119,TRUE
246,110.4055159,-6.974557967,TRUE
247,110.4055865,-6.972170837,TRUE
248,110.4056595,-6.967914473,TRUE
249,110.4059099,-6.965955467,TRUE
250,110.4062272,-7.01445712,TRUE
251,110.406449,-6.99906269,TRUE
252,110.4067408,-7.099723079,TRUE
253,110.4067823,-6.986825473,TRUE
254,110.4072063,-6.974605134,TRUE
255,110.4074192,-6.985775938,TRUE
256,110.4079493,-6.95726494,TRUE
257,110.4079637,-6.977748788,TRUE
258,110.4080505,-6.989196431,TRUE
259,110.4085548,-7.029689581,TRUE
260,110.4088104,-6.987609667,TRUE
261,110.4089291,-7.098754885,TRUE
262,110.4093255,-6.967027945,TRUE
263,110.4094146,-7.012549805,TRUE
264,110.4096224,-6.971027331,TRUE
265,110.4096812,-7.014406548,TRUE
266,110.4098781,-7.057863112,TRUE
267,110.4099976,-6.996087128,TRUE
268,110.4106153,-6.990909497,TRUE
269,110.4106155,-7.010230804,TRUE
270,110.4108082,-6.979317919,TRUE
271,110.4109887,-6.981118553,TRUE
272,110.4110458,-6.977204693,TRUE
273,110.4111201,-7.060881746,TRUE
274,110.411323,-7.095359475,TRUE
275,110.4114709,-6.970781906,TRUE
276,110.4115017,-7.08221092,TRUE
277,110.4116395,-7.012503745,TRUE
278,110.4116452,-6.966570705,TRUE
279,110.4116761,-7.104382005,TRUE
280,110.4117517,-7.076668517,TRUE
281,110.4119595,-7.053868126,TRUE
282,110.4123176,-6.969645652,TRUE
283,110.4123526,-6.968777329,TRUE
284,110.4123758,-7.029676438,TRUE
285,110.4124558,-7.049456289,TRUE
286,110.4124851,-6.970861992,TRUE
287,110.4124898,-6.99728714,TRUE
288,110.4126524,-6.97228102,TRUE
289,110.4130796,-7.033692889,TRUE
290,110.4131494,-7.092327452,TRUE
291,110.4131533,-7.014044504,TRUE
292,110.4131942,-6.996350709,TRUE
293,110.4132371,-6.964275545,TRUE
294,110.413531,-7.073420429,TRUE
295,110.4135777,-6.98879898,TRUE
296,110.4135838,-6.957316996,TRUE
297,110.4141332,-6.992868001,TRUE
298,110.4143502,-6.988757062,TRUE
299,110.4144951,-6.958500475,TRUE
300,110.4145957,-7.069551522,TRUE
301,110.4148511,-6.971304087,TRUE
302,110.4149807,-6.992991752,TRUE
303,110.4151624,-6.990988443,TRUE
304,110.4152314,-6.992988528,TRUE
305,110.4154708,-6.998536601,TRUE
306,110.4155028,-6.963771629,TRUE
307,110.4155697,-6.964345997,TRUE
308,110.4156123,-6.980054494,TRUE
309,110.4158451,-7.012069318,TRUE
310,110.415878,-6.976323539,TRUE
311,110.4159578,-7.081326464,TRUE
312,110.4159736,-7.086694427,TRUE
313,110.4160112,-6.996461023,TRUE
314,110.4161059,-6.984989386,TRUE
315,110.4163293,-7.033259245,TRUE
316,110.4164164,-7.069674683,TRUE
317,110.4164419,-6.969853452,TRUE
318,110.4165972,-6.991972088,TRUE
319,110.4167424,-7.063308933,TRUE
320,110.4167945,-7.092291585,TRUE
321,110.4174299,-7.070121484,TRUE
322,110.4174565,-7.013830023,TRUE
323,110.4178094,-6.957592463,TRUE
324,110.4178459,-7.01524724,TRUE
325,110.4179406,-6.960835647,TRUE
326,110.4179434,-7.015467199,TRUE
327,110.4182314,-6.971814984,TRUE
328,110.4182875,-6.984354821,TRUE
329,110.4183132,-7.076231725,TRUE
330,110.4184158,-6.959349846,TRUE
331,110.418441,-6.966275081,TRUE
332,110.4185976,-6.983121793,TRUE
333,110.419355,-7.020671781,TRUE
334,110.4194098,-6.996123256,TRUE
335,110.4195307,-6.977223129,TRUE
336,110.4199957,-6.966682368,TRUE
337,110.4200107,-6.988427197,TRUE
338,110.4201298,-6.967594633,TRUE
339,110.4202664,-7.015201377,TRUE
340,110.4203835,-7.028695751,TRUE
341,110.4205686,-7.084273715,TRUE
342,110.4206129,-6.96242648,TRUE
343,110.4207537,-6.955096244,TRUE
344,110.4209093,-7.022093137,TRUE
345,110.4210157,-6.962212687,TRUE
346,110.421084,-6.985591673,TRUE
347,110.4210915,-7.05839363,TRUE
348,110.421282,-7.066323243,TRUE
349,110.4213501,-6.986722626,TRUE
350,110.4214882,-6.99580827,TRUE
351,110.4217248,-7.013327301,TRUE
352,110.4218845,-7.070329322,TRUE
353,110.4221044,-6.956381592,TRUE
354,110.4221881,-6.974512884,TRUE
355,110.4222054,-6.956719531,TRUE
356,110.4222456,-7.026767369,TRUE
357,110.4223831,-6.972790252,TRUE
358,110.4226268,-7.027608027,TRUE
359,110.4226481,-7.002565638,TRUE
360,110.4226562,-7.089681098,TRUE
361,110.4229401,-7.022172206,TRUE
362,110.4230102,-7.027493649,TRUE
363,110.4231774,-7.048979373,TRUE
364,110.4233443,-7.062075916,TRUE
365,110.4233677,-6.985656142,TRUE
366,110.423585,-7.02741779,TRUE
367,110.4237822,-7.02157996,TRUE
368,110.4238197,-6.986150059,TRUE
369,110.4239097,-7.036761125,TRUE
370,110.4239393,-6.972438781,TRUE
371,110.4239986,-7.005182204,TRUE
372,110.4241225,-6.974062996,TRUE
373,110.4245353,-7.009037598,TRUE
374,110.4248353,-7.045747671,TRUE
375,110.4249562,-7.075390362,TRUE
376,110.4250516,-7.018920729,TRUE
377,110.425074,-7.04162759,TRUE
378,110.4251472,-7.006806657,TRUE
379,110.4251683,-7.017466112,TRUE
380,110.4252981,-6.971700389,TRUE
381,110.4257648,-6.997254669,TRUE
382,110.4259262,-7.077009875,TRUE
383,110.4260117,-7.073368768,TRUE
384,110.4262783,-7.050953296,TRUE
385,110.4263829,-7.026885258,TRUE
386,110.4265457,-7.067219822,TRUE
387,110.4266353,-7.007665083,TRUE
388,110.4274274,-7.058915785,TRUE
389,110.4274753,-6.991581524,TRUE
390,110.4276258,-6.994741006,TRUE
391,110.4276756,-7.005682625,TRUE
392,110.4276845,-6.971785513,TRUE
393,110.4277763,-6.980871763,TRUE
394,110.4277913,-7.075312939,TRUE
395,110.4279113,-7.036652892,TRUE
396,110.4280776,-7.009041923,TRUE
397,110.4280792,-7.071712537,TRUE
398,110.4282322,-7.018694916,TRUE
399,110.4282786,-6.990780782,TRUE
400,110.4285728,-7.022179101,TRUE
401,110.4285815,-6.978549812,TRUE
402,110.4286784,-6.983483579,TRUE
403,110.4286839,-7.025356741,TRUE
404,110.4287242,-7.023710613,TRUE
405,110.4287771,-7.081468219,TRUE
406,110.428868,-6.979865799,TRUE
407,110.4289273,-7.073655558,TRUE
408,110.4290052,-6.96843634,TRUE
409,110.4292805,-7.00114276,TRUE
410,110.4293088,-6.989589732,TRUE
411,110.4293293,-7.076083527,TRUE
412,110.429387,-7.060409833,TRUE
413,110.429408,-7.047478483,TRUE
414,110.4294796,-6.998260674,TRUE
415,110.4301206,-6.981779103,TRUE
416,110.4302068,-7.04250128,TRUE
417,110.4306709,-7.033375183,TRUE
418,110.430848,-6.998775287,TRUE
419,110.4310926,-6.977648343,TRUE
420,110.431108,-7.073727012,TRUE
421,110.4311165,-6.964782961,TRUE
422,110.4311627,-7.001389305,TRUE
423,110.4314204,-6.972611219,TRUE
424,110.4314827,-7.010511307,TRUE
425,110.4315745,-6.974777121,TRUE
426,110.4315939,-7.011886525,TRUE
427,110.4316029,-7.071474101,TRUE
428,110.4316453,-7.006724389,TRUE
429,110.4321833,-6.989650843,TRUE
430,110.4322342,-6.990798994,TRUE
431,110.43244,-6.996358984,TRUE
432,110.4324829,-6.997304985,TRUE
433,110.4331551,-6.985085744,TRUE
434,110.4333806,-7.074955652,TRUE
435,110.4334193,-6.995236543,TRUE
436,110.4335509,-6.981668041,TRUE
437,110.4338491,-6.985073381,TRUE
438,110.4338545,-6.999267444,TRUE
439,110.4338851,-6.998528839,TRUE
440,110.4339397,-6.962333608,TRUE
441,110.4339781,-6.998143972,TRUE
442,110.4340569,-6.973501547,TRUE
443,110.4341754,-6.996678618,TRUE
444,110.4344353,-6.984565422,TRUE
445,110.434525,-6.991003974,TRUE
446,110.4346352,-7.05781531,TRUE
447,110.4346494,-6.980234245,TRUE
448,110.4346879,-6.969927564,TRUE
449,110.4348088,-6.977964347,TRUE
450,110.4350215,-6.974807351,TRUE
451,110.4352205,-7.01086836,TRUE
452,110.4352396,-7.00623067,TRUE
453,110.4353137,-6.992498738,TRUE
454,110.4354947,-6.997364145,TRUE
455,110.4355733,-6.993803697,TRUE
456,110.4360755,-7.002347855,TRUE
457,110.436078,-7.008150777,TRUE
458,110.4362353,-6.964345511,TRUE
459,110.4364996,-6.961658246,TRUE
460,110.4367998,-6.994509676,TRUE
461,110.4368239,-7.011661186,TRUE
